order;title;description;link;file;tags;repo_link;image;height;width;
0;canal ia;Fully Automated YouTube channel — pipeline combining a local AI model, FFmpeg, and the YouTube API.;https://www.youtube.com/@SmartHousesTv; ;Applied AI,APIs,FFmpeg,Local Models,Python;https://www.youtube.com/@SmartHousesTv
0;Memory Match;Simple web game to test your memory;https://davilarodrigo.github.io/Memory-Card-Game-JS/; ;HTML,CSS,JavaScript;https://github.com/davilarodrigo/Memory-Card-Game-JS;memory.png
0;minesweeper (vue) deployed using github actions;;https://davilarodrigo.github.io/minesweeper/; ;github actions, VUE,HTML,CSS,JavaScript;https://github.com/davilarodrigo/minesweeper
0;Tic-Tac-Toe;Console application version of the classic game. Play against the computer with 3 AI difficulty levels (Easy / Medium / Hard). Implemented in C++ as a practice project.;https://github.com/davilarodrigo/Tic-Tac-Toe; ;C++;https://github.com/davilarodrigo/Tic-Tac-Toe;;;1
0;To-Do List;App to track to-do activities and activities in progress;https://davilarodrigo.github.io/To-do-list-Javascript/; ;HTML,CSS,JavaScript;https://github.com/davilarodrigo/To-do-list-Javascript
0;Calculator js;Web Calculator;https://davilarodrigo.github.io/Calculadora-JS/; ;HTML,CSS,JavaScript;https://github.com/davilarodrigo/Calculadora-JS
0;MarketWatch;Backend consuming an external financial data API, exposing REST endpoints for managing stock watchlists. Additional features planned.;https://github.com/davilarodrigo/MarketWatch; ;C#,.NET;https://github.com/davilarodrigo/MarketWatch;fondohd.png;;1
0;Virtual Wallet ;Backend built with ASP.NET MVC and an Angular frontend. — internship project;https://github.com/pgClipfs/proyecto-clip-money-c-gr5c; ;C#,ASP.NET MVC, Angular, HTML,CSS,JavaScript;https://github.com/pgClipfs/proyecto-clip-money-c-gr5c
0;SERVICE REQUEST - Horror game built in Unity;self-developed and published on itch.io, ~200 hours of development. Unity project link attached.;https://scurra-studios.itch.io/service-request; ;C#,Unity,Blender;https://drive.google.com/file/d/146_NdTFWpWIM0J0f18DFhn4c93FX8lEK/view?usp=sharing;service_request.png;1
0;Waiting Times Simulator;Desktop app to simulate waiting times on a line, done as a final project for Simulation Subject at college;https://github.com/davilarodrigo/Final-Simulacion; ;C#,;https://github.com/davilarodrigo/Final-Simulacion
0;Password Manager;Android app to generate passwords base on a seed;https://github.com/davilarodrigo/PasswordManager-android; ;Android Studio, Java;https://github.com/davilarodrigo/PasswordManager-android
0;Vexillum;Website to learn different facts about flags. Done as a frontend practice project.;https://davilarodrigo.github.io/pagina-bootstrap-CLIP/; ;Bootstrap, HTML,CSS,JavaScript;https://github.com/davilarodrigo/pagina-bootstrap-CLIP
